cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season,class
5.19,x,d,y,t,p,,y,7.05,15.79,,,y,,,f,f,,d,u,e
6.84,s,t,y,f,x,c,y,5.03,12.98,,,y,,,f,f,,d,a,p
10.44,o,,n,f,f,f,f,4.58,25.92,,g,n,,,f,f,,d,s,p
3.9,x,,n,f,x,c,w,7.5,8.21,b,,w,,w,t,,,g,a,e
10.76,p,s,n,t,e,,g,11.26,17.32,s,,w,,,t,l,,m,a,e
10.82,x,,n,f,p,,p,11.57,28.93,c,,n,,,f,f,p,d,a,p
1.43,x,g,y,f,d,d,n,1.51,2.32,,s,n,,,f,f,,h,a,p
3.67,b,,n,f,a,,n,8.7,2.45,,,g,,w,f,f,k,g,a,p
7.96,f,,n,f,s,c,g,9.31,21.98,b,,u,,,f,f,,g,w,e
17.34,f,y,w,f,,,w,24.22,20.24,s,,n,,,t,m,,m,u,e
9.62,x,t,y,f,p,,y,8.68,17.11,,,y,,y,t,,,d,a,e
5.65,c,i,y,f,,c,n,6.4,7.37,,,w,,,f,f,,d,a,p
3.83,f,k,n,f,p,,n,3.68,4.95,,k,n,,,t,f,,d,u,p
3.14,s,y,n,f,d,d,p,8.58,3.98,,i,n,,,f,f,,l,u,e
11.36,x,e,y,t,p,,o,6.11,24.48,,,e,,,f,f,,d,a,p
4.24,x,h,n,f,a,c,n,5.3,6.25,,y,n,,,t,z,,d,w,p
6.05,o,k,n,f,,c,y,1.53,16.97,,,y,,,f,f,,d,a,p
9.54,x,h,n,t,p,,y,7.41,22.24,,,n,,,f,f,,d,u,e
7.11,o,,n,f,f,f,f,3.39,25.26,,g,n,,,f,f,,d,s,p
0.72,x,,o,f,d,,o,5.2,1.11,,,y,,,f,f,w,g,a,p
0.79,f,,o,f,d,,o,4.91,1.09,,,y,,,f,f,w,g,a,p
5.13,x,i,n,f,a,c,k,7.91,7.76,,i,n,,k,t,z,k,g,u,p
6.73,x,e,e,f,a,,n,7.85,9.66,,,e,,w,t,z,,d,a,p
5.41,s,d,y,f,d,c,o,3.01,6.01,,,o,,,f,f,,h,a,p
3.95,f,,n,f,x,c,w,5.65,3.45,,,w,,,f,f,,d,a,e
