<<<<<<< HEAD
ML Model name,Accuracy,Precision,Recall,F1,MCC,AUC
Logistic Regression,0.8410381184103812,0.4913494809688581,0.743455497382199,0.5916666666666666,0.5145014832284747,0.8932442142074746
Decision Tree,0.8527980535279805,0.524547803617571,0.5314136125654451,0.527958387516255,0.4407790986638751,0.7215609329621852
KNN,0.8763179237631792,0.6878048780487804,0.36910994764397903,0.4804088586030664,0.44348955162791015,0.7941779049552311
Naive Bayes,0.272911597729116,0.1726218097447796,0.9738219895287958,0.29325975561687034,0.12888401296020927,0.7334051009436142
Random Forest,0.8961881589618816,0.7647058823529411,0.47643979057591623,0.5870967741935483,0.5508460429734618,0.9185730723236627
XGBoost,0.8767234387672344,0.5819327731092437,0.725130890052356,0.6456876456876457,0.5772232720016758,0.9211368592416919
=======
ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8419975440032746,0.9184848830235581,0.8401787933130496,0.8436171107727962,0.8410258122030396,0.6837872596192657
Decision Tree,0.9946786737617683,0.9947502394889456,0.994482529479173,0.9947502394889456,0.9946148304033595,0.9892327327437571
KNN,0.9991813344248874,0.9999972862442434,0.9991712868358422,0.9991712868358422,0.9991712868358422,0.9983425736716844
Naive Bayes,0.6013098649201801,0.8356746261123007,0.7549623000893153,0.6402167069659397,0.566639493783019,0.37815327114272324
Random Forest,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,0.9443307408923455,0.9903044291207702,0.9428973742503648,0.9449250053596676,0.9437836623256732,0.8878200642295178
>>>>>>> 39c0d60ecbed6ae5fb5433a360a49e4e5f0a2654
